id_supplier,name_supplier,phone_supplier,address_supplier,description_supplier,created_at,updated_at
1,Kenya Herzog,+16174767839,"284 Ziemann Mills
South Arnoldomouth, LA 58327",Praesentium maiores aliquid facilis eius molestiae. Iste at iste delectus beatae deserunt. Voluptatibus deleniti sed autem accusamus autem fuga. Dolores cumque et quis dolor dolores corporis et.,2023-08-06 09:08:15,2023-08-06 09:08:15
2,Dr. Amely Rodriguez DDS,1-314-285-1153,"955 Vella Common Apt. 002
North Mary, DC 46418",Corporis voluptate officiis nobis neque. A sed nihil quam laudantium voluptas nobis.,2023-08-06 09:08:15,2023-08-06 09:08:15
3,Destany Grady,(484) 328-3986,"48929 Layla Parks
New Alexandrea, OR 94997-8486",Sapiente repudiandae earum corrupti explicabo. Magni et omnis dolores aut. Rem nulla autem recusandae ut libero unde. Debitis quae omnis harum voluptatem iusto quaerat possimus.,2023-08-06 09:08:15,2023-08-06 09:08:15
4,Francesco Lang,(914) 980-9915,"768 Nikita Flats Apt. 293
East Adamtown, ME 27275",Enim ratione voluptatem eum adipisci. Consectetur voluptatem et distinctio modi.,2023-08-06 09:08:15,2023-08-06 09:08:15
5,Mrs. Florida Grimes,1-810-570-7586,"925 Johnson Trail Suite 743
North Elenaland, ID 09136-8132",Nisi commodi nihil laboriosam laboriosam dolorem. Reiciendis voluptate rerum et ut. A pariatur cum doloremque laboriosam. Aut esse quia et qui voluptas pariatur porro.,2023-08-06 09:08:15,2023-08-06 09:08:15
6,Percy Quigley,(706) 735-2594,"783 Botsford Forge Suite 746
Shyannview, LA 05048-7118",Quod incidunt omnis occaecati assumenda. Qui ut excepturi recusandae est autem ratione. Omnis nobis sit enim iure ut nihil quae.,2023-08-06 09:08:16,2023-08-06 09:08:16
7,Mrs. Nova DuBuque,331.423.5997,"2822 Schoen Walk
Federicoland, WY 03408-8824",Praesentium ullam quo eos accusamus est consequuntur accusamus. Doloribus quia id dolor et sint. Saepe placeat magnam pariatur doloribus. Praesentium doloribus ut eum ut repudiandae dolor est.,2023-08-06 09:08:16,2023-08-06 09:08:16
8,Miss Kaia Murazik,216.385.1303,"187 Hahn Flat Apt. 126
Kohlershire, IA 21559",Aperiam odio reiciendis praesentium eos recusandae similique. Laudantium aut quia dignissimos veritatis et voluptatibus. Laboriosam temporibus architecto et.,2023-08-06 09:08:16,2023-08-06 09:08:16
9,Uriel Nolan MD,+1.262.527.0207,"843 Wintheiser Gardens
East Gaetano, MN 39366",Deserunt iusto debitis similique laboriosam unde. Omnis quod et quasi soluta. Ut debitis qui tenetur itaque est ut officia. Ratione tenetur enim ea officiis minima ut consectetur omnis.,2023-08-06 09:08:16,2023-08-06 09:08:16
10,Reba Jacobs,+1 (404) 228-0464,"6708 Veum Estate Suite 569
South Vadaside, WI 06869-2577",Voluptatem eveniet magnam incidunt. Qui commodi quia et rerum ut.,2023-08-06 09:08:16,2023-08-06 09:08:16
